No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2012.917,32.0,84.9,10,32.7830,117.1402,37.9
2,2012.917,19.5,306.6,9,32.7803,117.1395,42.2
3,2013.583,13.3,562,5,32.7875,117.1439,47.3
4,2013.500,13.3,562,5,32.7875,117.1439,54.8
5,2012.833,5.0,390.6,5,32.7794,117.1425,43.1
6,2012.667,7.1,2175,3,32.7631,117.1125,32.1
7,2012.667,34.5,623.5,7,32.7793,117.1364,40.3
8,2013.417,20.3,287.6,6,32.7804,117.1423,46.7
9,2013.500,31.7,5512,1,32.7510,117.0846,18.8
10,2013.417,17.9,1783.2,3,32.7673,117.1149,22.1
11,2013.083,34.8,405.2,1,32.7735,117.1337,41.4
12,2013.333,6.3,90.5,9,32.7743,117.1431,58.1
13,2012.917,13.0,492.2,5,32.7652,117.1374,39.3
14,2012.667,20.4,2469.6,4,32.7611,117.1105,23.8
15,2013.500,13.2,1164.8,4,32.7916,117.1341,34.3
16,2013.583,35.7,579.2,2,32.7824,117.1462,50.5
17,2013.250,0.0,293,6,32.7774,117.1446,70.1
18,2012.750,17.7,350.9,1,32.7754,117.1312,37.4
19,2013.417,16.9,368.1,8,32.7675,117.1445,42.3
20,2012.667,1.5,23.4,7,32.7677,117.1410,47.7
21,2013.417,4.5,2275.9,3,32.7631,117.1115,29.3
22,2013.417,10.5,279.2,7,32.7753,117.1454,51.6
23,2012.917,14.7,1360.1,1,32.7520,117.1484,24.6
24,2013.083,10.1,279.2,7,32.7753,117.1454,47.9
25,2013.000,39.6,480.7,4,32.7735,117.1389,38.8
26,2013.083,29.3,1487.9,2,32.7754,117.1173,27.0
27,2012.667,3.1,383.9,5,32.7809,117.1439,56.2
28,2013.250,10.4,276.4,5,32.7559,117.1391,33.6
29,2013.500,19.2,557.5,4,32.7742,117.1380,47.0
30,2013.083,7.1,451.2,5,32.7756,117.1469,57.1
31,2013.500,25.9,4519.7,0,32.7483,117.0959,22.1
32,2012.750,29.6,769.4,7,32.7828,117.1341,25.0
33,2012.750,37.9,488.6,1,32.7735,117.1345,34.2
34,2013.250,16.5,323.7,6,32.7784,117.1428,49.3
35,2012.750,15.4,205.4,7,32.7842,117.1424,55.1
36,2013.500,13.9,4079.4,0,32.8146,117.1182,27.3
37,2012.917,14.7,1935,2,32.7639,117.1146,22.9
38,2013.167,12.0,1360.1,1,32.7520,117.1484,25.3
39,2012.667,3.1,578,6,32.7720,117.1472,47.7
40,2013.167,16.2,289.3,5,32.7820,117.1435,46.2
41,2013.000,13.6,4082,0,32.7416,117.1038,15.9
42,2013.500,16.8,4066.6,0,32.7430,117.1034,18.2
43,2013.417,36.1,519.5,5,32.7631,117.1376,34.7
44,2012.750,34.4,512.8,6,32.7875,117.1430,34.1
45,2013.583,2.7,533.5,4,32.7745,117.1477,53.9
46,2013.083,36.6,488.8,8,32.7702,117.1449,38.3
47,2013.417,21.7,464,9,32.7703,117.1446,42.0
48,2013.583,35.9,640.7,3,32.7756,117.1372,61.5
49,2013.417,24.2,4605.7,0,32.7468,117.0958,13.4
50,2012.667,29.4,4510.4,1,32.7493,117.0954,13.2
51,2013.417,21.7,512.5,4,32.7740,117.1384,44.2
52,2013.083,31.3,1758.4,1,32.7540,117.1528,20.7
53,2013.583,32.1,1438.6,3,32.7742,117.1175,27.0
54,2013.083,13.3,492.2,5,32.7652,117.1374,38.9
55,2013.083,16.1,289.3,5,32.7820,117.1435,51.7
56,2012.833,31.7,1160.6,0,32.7497,117.1301,13.7
57,2013.417,33.6,371.2,8,32.7725,117.1406,41.9
58,2012.917,3.5,56.5,7,32.7574,117.1371,53.5
59,2013.500,30.3,4510.4,1,32.7493,117.0954,22.6
60,2013.083,13.3,336.1,5,32.7578,117.1344,42.4
61,2013.417,11.0,1931.2,2,32.7637,117.1147,21.3
62,2013.500,5.3,259.7,6,32.7759,117.1452,63.2
63,2012.917,17.2,2175.9,3,32.7630,117.1125,27.7
64,2013.583,2.6,533.5,4,32.7745,117.1477,55.0
65,2013.333,17.5,995.8,0,32.7631,117.1492,25.3
66,2013.417,40.1,123.7,8,32.7764,117.1433,44.3
67,2013.000,1.0,193.6,6,32.7657,117.1409,50.7
68,2013.500,8.5,104.8,5,32.7667,117.1407,56.8
69,2013.417,30.4,464.2,6,32.7796,117.1381,36.2
70,2012.833,12.5,562,5,32.7875,117.1439,42.0
71,2013.583,6.6,90.5,9,32.7743,117.1431,59.0
72,2013.083,35.5,640.7,3,32.7756,117.1372,40.8
73,2013.583,32.5,424.5,8,32.7759,117.1391,36.3
74,2013.167,13.8,4082,0,32.7416,117.1038,20.0
75,2012.917,6.8,379.6,10,32.7834,117.1376,54.4
76,2013.500,12.3,1360.1,1,32.7520,117.1484,29.5
77,2013.583,35.9,616.4,3,32.7772,117.1377,36.8
78,2012.833,20.5,2185.1,3,32.7632,117.1124,25.6
79,2012.917,38.2,552.4,2,32.7760,117.1338,29.8
80,2013.000,18.0,1414.8,1,32.7518,117.1489,26.5
81,2013.500,11.8,533.5,4,32.7745,117.1477,40.3
82,2013.000,30.8,377.8,6,32.7643,117.1396,36.8
83,2013.083,13.2,150.9,7,32.7673,117.1425,48.1
84,2012.917,25.3,2707.4,3,32.7606,117.1083,17.7
85,2013.083,15.1,383.3,7,32.7674,117.1446,43.7
86,2012.750,0.0,339,9,32.7685,117.1441,50.8
87,2012.833,1.8,1455.8,1,32.7512,117.1490,27.0
88,2013.583,16.9,4066.6,0,32.7430,117.1034,18.3
89,2012.917,8.9,1406.4,0,32.7857,117.1276,48.0
90,2013.500,23.0,3947.9,0,32.7478,117.1024,25.3
91,2012.833,0.0,274,1,32.7748,117.1306,45.4
92,2013.250,9.1,1402,0,32.7857,117.1276,43.2
93,2012.917,20.6,2469.6,4,32.7611,117.1105,21.8
94,2012.917,31.9,1146.3,0,32.7492,117.1308,16.1
95,2012.917,40.9,167.6,5,32.7663,117.1403,41.0
96,2012.917,8.0,104.8,5,32.7667,117.1407,51.8
97,2013.417,6.4,90.5,9,32.7743,117.1431,59.5
98,2013.083,28.4,617.4,3,32.7775,117.1330,34.6
99,2013.417,16.4,289.3,5,32.7820,117.1435,51.0
100,2013.417,6.4,90.5,9,32.7743,117.1431,62.2
101,2013.500,17.5,964.7,4,32.7887,117.1341,38.2
102,2012.833,12.7,170.1,1,32.7737,117.1298,32.9
103,2013.083,1.1,193.6,6,32.7657,117.1409,54.4
104,2012.750,0.0,208.4,6,32.7562,117.1384,45.7
105,2012.667,32.7,392.4,6,32.7640,117.1425,30.5
106,2012.833,0.0,293,6,32.7774,117.1446,71.0
107,2013.083,17.2,189.5,8,32.7771,117.1431,47.1
108,2013.333,12.2,1360.1,1,32.7520,117.1484,26.6
109,2013.417,31.4,592.5,2,32.7726,117.1356,34.1
110,2013.583,4.0,2147.4,3,32.7630,117.1128,28.4
111,2013.083,8.1,104.8,5,32.7667,117.1407,51.6
112,2013.583,33.3,196.6,7,32.7770,117.1422,39.4
113,2013.417,9.9,2102.4,3,32.7604,117.1146,23.1
114,2013.333,14.8,393.3,6,32.7617,117.1381,7.6
115,2012.667,30.6,143.8,8,32.7816,117.1414,53.3
116,2013.083,20.6,737.9,2,32.7809,117.1474,46.4
117,2013.000,30.9,6396.3,1,32.7438,117.0788,12.2
118,2013.000,13.6,4197.3,0,32.7389,117.1038,13.0
119,2013.500,25.3,1583.7,3,32.7662,117.1171,30.6
120,2013.500,16.6,289.3,5,32.7820,117.1435,59.6
121,2013.167,13.3,492.2,5,32.7652,117.1374,31.3
122,2013.500,13.6,492.2,5,32.7652,117.1374,48.0
123,2013.250,31.5,414.9,4,32.7820,117.1446,32.5
124,2013.417,0.0,185.4,0,32.7711,117.1317,45.5
125,2012.917,9.9,279.2,7,32.7753,117.1454,57.4
126,2013.167,1.1,193.6,6,32.7657,117.1409,48.6
127,2013.083,38.6,804.7,4,32.7784,117.1348,62.9
128,2013.250,3.8,383.9,5,32.7809,117.1439,55.0
129,2013.083,41.3,125,6,32.7667,117.1404,60.7
130,2013.417,38.5,216.8,7,32.7809,117.1416,41.0
131,2013.250,29.6,535.5,8,32.7809,117.1365,37.5
132,2013.500,4.0,2147.4,3,32.7630,117.1128,30.7
133,2013.167,26.6,482.8,5,32.7743,117.1386,37.5
134,2012.833,18.0,373.4,8,32.7866,117.1408,39.5
135,2012.667,33.4,187,6,32.7660,117.1421,42.2
136,2012.917,18.9,1009.2,0,32.7636,117.1495,20.8
137,2012.750,11.4,390.6,5,32.7794,117.1425,46.8
138,2013.500,13.6,319.1,6,32.7650,117.1428,47.4
139,2013.167,10.0,942.5,0,32.7784,117.1241,43.5
140,2012.667,12.9,492.2,5,32.7652,117.1374,42.5
141,2013.250,16.2,289.3,5,32.7820,117.1435,51.4
142,2013.333,5.1,1559.8,3,32.7721,117.1163,28.9
143,2013.417,19.8,640.6,5,32.7702,117.1465,37.5
144,2013.500,13.6,492.2,5,32.7652,117.1374,40.1
145,2013.083,11.9,1360.1,1,32.7520,117.1484,28.4
146,2012.917,2.1,451.2,5,32.7756,117.1469,45.5
147,2012.750,0.0,185.4,0,32.7711,117.1317,52.2
148,2012.750,3.2,489.9,8,32.7702,117.1449,43.2
149,2013.500,16.4,3780.6,0,32.7329,117.1120,45.1
150,2012.667,34.9,179.5,8,32.7735,117.1425,39.7
151,2013.250,35.8,170.7,7,32.7672,117.1427,48.5
152,2013.500,4.9,387.8,9,32.7812,117.1379,44.7
153,2013.333,12.0,1360.1,1,32.7520,117.1484,28.9
154,2013.250,6.5,376.2,6,32.7542,117.1371,40.9
155,2013.500,16.9,4066.6,0,32.7430,117.1034,20.7
156,2013.167,13.8,4082,0,32.7416,117.1038,15.6
157,2013.583,30.7,1264.7,0,32.7488,117.1295,18.3
158,2013.250,16.1,815.9,4,32.7789,117.1346,35.6
159,2013.000,11.6,390.6,5,32.7794,117.1425,39.4
160,2012.667,15.5,815.9,4,32.7789,117.1346,37.4
161,2012.917,3.5,49.7,8,32.7584,117.1376,57.8
162,2013.417,19.2,616.4,3,32.7772,117.1377,39.6
163,2012.750,16.0,4066.6,0,32.7430,117.1034,11.6
164,2013.500,8.5,104.8,5,32.7667,117.1407,55.5
165,2012.833,0.0,185.4,0,32.7711,117.1317,55.2
166,2012.917,13.7,1236.6,1,32.7769,117.1539,30.6
167,2013.417,0.0,293,6,32.7774,117.1446,73.6
168,2013.417,28.2,330.1,8,32.7741,117.1401,43.4
169,2013.083,27.6,515.1,5,32.7630,117.1432,37.4
170,2013.417,8.4,1962.6,1,32.7547,117.1548,23.5
171,2013.333,24.0,4527.7,0,32.7474,117.0963,14.4
172,2013.083,3.6,383.9,5,32.7809,117.1439,58.8
173,2013.583,6.6,90.5,9,32.7743,117.1431,58.1
174,2013.083,41.3,401.9,4,32.7833,117.1446,35.1
175,2013.417,4.3,432,7,32.7805,117.1378,45.2
176,2013.083,30.2,472.2,3,32.7701,117.1376,36.5
177,2012.833,13.9,4573.8,0,32.7487,117.0951,19.2
178,2013.083,33.0,181.1,9,32.7770,117.1426,42.0
179,2013.500,13.1,1144.4,4,32.7918,117.1346,36.7
180,2013.083,14.0,438.9,1,32.7749,117.1273,42.6
181,2012.667,26.9,4449.3,0,32.7490,117.0962,15.5
182,2013.167,11.6,201.9,8,32.7849,117.1412,55.9
183,2013.500,13.5,2147.4,3,32.7630,117.1128,23.6
184,2013.500,17.0,4082,0,32.7416,117.1038,18.8
185,2012.750,14.1,2615.5,0,32.7550,117.1617,21.8
186,2012.750,31.4,1447.3,3,32.7729,117.1173,21.5
187,2013.167,20.9,2185.1,3,32.7632,117.1124,25.7
188,2013.000,8.9,3078.2,0,32.7546,117.1663,22.0
189,2012.917,34.8,190,8,32.7771,117.1431,44.3
190,2012.917,16.3,4066.6,0,32.7430,117.1034,20.5
191,2013.500,35.3,616.6,8,32.7795,117.1364,42.3
192,2013.167,13.2,750.1,2,32.7737,117.1495,37.8
193,2013.167,43.8,57.6,7,32.7675,117.1407,42.7
194,2013.417,9.7,421.5,5,32.7825,117.1448,49.3
195,2013.500,15.2,3771.9,0,32.7336,117.1116,29.3
196,2013.333,15.2,461.1,5,32.7543,117.1399,34.6
197,2013.000,22.8,707.9,2,32.7810,117.1471,36.6
198,2013.250,34.4,126.7,8,32.7688,117.1409,48.2
199,2013.083,34.0,157.6,7,32.7663,117.1420,39.1
200,2013.417,18.2,451.6,8,32.7695,117.1449,31.6
201,2013.417,17.4,995.8,0,32.7631,117.1492,25.5
202,2013.417,13.1,562,5,32.7875,117.1439,45.9
203,2012.917,38.3,642.7,3,32.7756,117.1371,31.5
204,2012.667,15.6,289.3,5,32.7820,117.1435,46.1
205,2013.000,18.0,1414.8,1,32.7518,117.1489,26.6
206,2013.083,12.8,1449.7,3,32.7729,117.1173,21.4
207,2013.250,22.2,379.6,10,32.7834,117.1376,44.0
208,2013.083,38.5,665.1,3,32.7750,117.1369,34.2
209,2012.750,11.5,1360.1,1,32.7520,117.1484,26.2
210,2012.833,34.8,175.6,8,32.7735,117.1427,40.9
211,2013.500,5.2,390.6,5,32.7794,117.1425,52.2
212,2013.083,0.0,274,1,32.7748,117.1306,43.5
213,2013.333,17.6,1805.7,2,32.7867,117.1209,31.1
214,2013.083,6.2,90.5,9,32.7743,117.1431,58.0
215,2013.583,18.1,1783.2,3,32.7673,117.1149,20.9
216,2013.333,19.2,383.7,8,32.7720,117.1448,48.1
217,2013.250,37.8,590.9,1,32.7715,117.1356,39.7
218,2012.917,28.0,372.6,6,32.7784,117.1412,40.8
219,2013.417,13.6,492.2,5,32.7652,117.1374,43.8
220,2012.750,29.3,529.8,8,32.7810,117.1366,40.2
221,2013.333,37.2,186.5,9,32.7770,117.1427,78.3
222,2013.333,9.0,1402,0,32.7857,117.1276,38.5
223,2013.583,30.6,431.1,10,32.7812,117.1374,48.5
224,2013.250,9.1,1402,0,32.7857,117.1276,42.3
225,2013.333,34.5,324.9,6,32.7781,117.1417,46.0
226,2013.250,1.1,193.6,6,32.7657,117.1409,49.0
227,2013.000,16.5,4082,0,32.7416,117.1038,12.8
228,2012.917,32.4,265.1,8,32.7806,117.1399,40.2
229,2013.417,11.9,3171.3,0,32.8012,117.1178,46.6
230,2013.583,31.0,1156.4,0,32.7489,117.1310,19.0
231,2013.500,4.0,2147.4,3,32.7630,117.1128,33.4
232,2012.833,16.2,4074.7,0,32.7424,117.1036,14.7
233,2012.917,27.1,4412.8,1,32.7503,117.0959,17.4
234,2013.333,39.7,333.4,9,32.7802,117.1393,32.4
235,2013.250,8.0,2216.6,4,32.7601,117.1136,23.9
236,2012.750,12.9,250.6,7,32.7661,117.1430,39.3
237,2013.167,3.6,373.8,10,32.7832,117.1377,61.9
238,2013.167,13.0,732.9,0,32.7767,117.1252,39.0
239,2013.083,12.8,732.9,0,32.7767,117.1252,40.6
240,2013.500,18.1,837.7,0,32.7633,117.1477,29.7
241,2013.083,11.0,1712.6,2,32.7641,117.1167,28.8
242,2013.500,13.7,250.6,7,32.7661,117.1430,41.4
243,2012.833,2.0,2077.4,3,32.7636,117.1133,33.4
244,2013.417,32.8,204.2,8,32.7824,117.1392,48.2
245,2013.083,4.8,1559.8,3,32.7721,117.1163,21.7
246,2013.417,7.5,639.6,5,32.7726,117.1481,40.8
247,2013.417,16.4,389.8,6,32.7641,117.1427,40.6
248,2013.333,21.7,1055.1,0,32.7621,117.1493,23.1
249,2013.000,19.0,1009.2,0,32.7636,117.1495,22.3
250,2012.833,18.0,6306.2,1,32.7574,117.0752,15.0
251,2013.167,39.2,424.7,7,32.7743,117.1392,30.0
252,2012.917,31.7,1159.5,0,32.7496,117.1302,13.8
253,2012.833,5.9,90.5,9,32.7743,117.1431,52.7
254,2012.667,30.4,1735.6,2,32.7646,117.1162,25.9
255,2012.667,1.1,330,5,32.7825,117.1440,51.8
256,2013.417,31.5,5512,1,32.7510,117.0846,17.4
257,2012.667,14.6,339.2,1,32.7752,117.1315,26.5
258,2013.250,17.3,444.1,1,32.7750,117.1273,43.9
259,2013.417,0.0,293,6,32.7774,117.1446,63.3
260,2013.083,17.7,837.7,0,32.7633,117.1477,28.8
261,2013.250,17.0,1485.1,4,32.7707,117.1170,30.7
262,2013.167,16.2,2288,3,32.7589,117.1136,24.4
263,2012.917,15.9,289.3,5,32.7820,117.1435,53.0
264,2013.417,3.9,2147.4,3,32.7630,117.1128,31.7
265,2013.167,32.6,493.7,7,32.7697,117.1452,40.6
266,2012.833,15.7,815.9,4,32.7789,117.1346,38.1
267,2013.250,17.8,1783.2,3,32.7673,117.1149,23.7
268,2012.833,34.7,482.8,5,32.7743,117.1386,41.1
269,2013.417,17.2,390.6,5,32.7794,117.1425,40.1
270,2013.000,17.6,837.7,0,32.7633,117.1477,23.0
271,2013.333,10.8,252.6,1,32.7746,117.1305,117.5
272,2012.917,17.7,451.6,8,32.7695,117.1449,26.5
273,2012.750,13.0,492.2,5,32.7652,117.1374,40.5
274,2013.417,13.2,170.1,1,32.7737,117.1298,29.3
275,2013.167,27.5,394,7,32.7731,117.1399,41.0
276,2012.667,1.5,23.4,7,32.7677,117.1410,49.7
277,2013.000,19.1,461.1,5,32.7543,117.1399,34.0
278,2013.417,21.2,2185.1,3,32.7632,117.1124,27.7
279,2012.750,0.0,208.4,6,32.7562,117.1384,44.0
280,2013.417,2.6,1554.3,3,32.7703,117.1164,31.1
281,2013.250,2.3,184.3,6,32.7658,117.1409,45.4
282,2013.333,4.7,387.8,9,32.7812,117.1379,44.8
283,2012.917,2.0,1455.8,1,32.7512,117.1490,25.6
284,2013.417,33.5,1978.7,2,32.7867,117.1184,23.5
285,2012.917,15.0,383.3,7,32.7674,117.1446,34.4
286,2013.167,30.1,718.3,3,32.7751,117.1364,55.3
287,2012.917,5.9,90.5,9,32.7743,117.1431,56.3
288,2013.000,19.2,461.1,5,32.7543,117.1399,32.9
289,2013.583,16.6,323.7,6,32.7784,117.1428,51.0
290,2013.333,13.9,289.3,5,32.7820,117.1435,44.5
291,2013.083,37.7,490.3,0,32.7722,117.1347,37.0
292,2012.833,3.4,56.5,7,32.7574,117.1371,54.4
293,2013.083,17.5,395.7,5,32.7567,117.1340,24.5
294,2012.667,12.6,383.3,7,32.7674,117.1446,42.5
295,2013.500,26.4,335.5,6,32.7796,117.1414,38.1
296,2013.167,18.2,2179.6,3,32.7630,117.1125,21.8
297,2012.750,12.5,1144.4,4,32.7918,117.1346,34.1
298,2012.833,34.9,567,4,32.7700,117.1458,28.5
299,2013.333,16.7,4082,0,32.7416,117.1038,16.7
300,2013.167,33.2,121.7,10,32.7818,117.1406,46.1
301,2013.083,2.5,156.2,4,32.7670,117.1399,36.9
302,2012.750,38.0,461.8,0,32.7723,117.1345,35.7
303,2013.500,16.5,2288,3,32.7589,117.1136,23.2
304,2013.500,38.3,439.7,0,32.7716,117.1342,38.4
305,2013.417,20.0,1626.1,3,32.7662,117.1167,29.4
306,2013.083,16.2,289.3,5,32.7820,117.1435,55.0
307,2013.500,14.4,170,1,32.7737,117.1298,50.2
308,2012.833,10.3,3079.9,0,32.7546,117.1663,24.7
309,2013.417,16.4,289.3,5,32.7820,117.1435,53.0
310,2013.250,30.3,1264.7,0,32.7488,117.1295,19.1
311,2013.583,16.4,1643.5,2,32.7539,117.1517,24.7
312,2013.167,21.3,537.8,4,32.7743,117.1381,42.2
313,2013.583,35.4,318.5,9,32.7707,117.1407,78.0
314,2013.333,8.3,104.8,5,32.7667,117.1407,42.8
315,2013.250,3.7,578,6,32.7720,117.1472,41.6
316,2013.083,15.6,1756.4,2,32.7832,117.1181,27.3
317,2013.250,13.3,250.6,7,32.7661,117.1430,42.0
318,2012.750,15.6,752.8,2,32.7780,117.1345,37.5
319,2013.333,7.1,379.6,10,32.7834,117.1376,49.8
320,2013.250,34.6,272.7,5,32.7556,117.1387,26.9
321,2012.750,13.5,4197.3,0,32.7389,117.1038,18.6
322,2012.917,16.9,964.7,4,32.7887,117.1341,37.7
323,2013.000,12.9,187.5,1,32.7739,117.1298,33.1
324,2013.417,28.6,197.1,6,32.7763,117.1444,42.5
325,2012.667,12.4,1712.6,2,32.7641,117.1167,31.3
326,2013.083,36.6,488.8,8,32.7702,117.1449,38.1
327,2013.500,4.1,56.5,7,32.7574,117.1371,62.1
328,2013.417,3.5,757.3,3,32.7754,117.1497,36.7
329,2012.833,15.9,1497.7,3,32.7700,117.1170,23.6
330,2013.000,13.6,4197.3,0,32.7389,117.1038,19.2
331,2013.083,32.0,1156.8,0,32.7494,117.1305,12.8
332,2013.333,25.6,4519.7,0,32.7483,117.0959,15.6
333,2013.167,39.8,617.7,2,32.7758,117.1348,39.6
334,2012.750,7.8,104.8,5,32.7667,117.1407,38.4
335,2012.917,30.0,1013.3,5,32.7901,117.1346,22.8
336,2013.583,27.3,337.6,6,32.7643,117.1406,36.5
337,2012.833,5.1,1867.2,2,32.7841,117.1175,35.6
338,2012.833,31.3,600.9,5,32.7687,117.1465,30.9
339,2012.917,31.5,258.2,9,32.7687,117.1433,36.3
340,2013.333,1.7,330,5,32.7825,117.1440,50.4
341,2013.333,33.6,270.9,0,32.7728,117.1327,42.9
342,2013.000,13.0,750.1,2,32.7737,117.1495,37.0
343,2012.667,5.7,90.5,9,32.7743,117.1431,53.5
344,2013.000,33.5,563.3,8,32.7822,117.1360,46.6
345,2013.500,34.6,3085.2,0,32.7980,117.1155,41.2
346,2012.667,0.0,185.4,0,32.7711,117.1317,37.9
347,2013.417,13.2,1712.6,2,32.7641,117.1167,30.8
348,2013.583,17.4,6488,1,32.7572,117.0735,11.2
349,2012.833,4.6,259.7,6,32.7759,117.1452,53.7
350,2012.750,7.8,104.8,5,32.7667,117.1407,47.0
351,2013.000,13.2,492.2,5,32.7652,117.1374,42.3
352,2012.833,4.0,2180.2,3,32.7632,117.1124,28.6
353,2012.833,18.4,2675,3,32.7614,117.1083,25.7
354,2013.500,4.1,2147.4,3,32.7630,117.1128,31.3
355,2013.417,12.2,1360.1,1,32.7520,117.1484,30.1
356,2013.250,3.8,383.9,5,32.7809,117.1439,60.7
357,2012.833,10.3,211.4,1,32.7742,117.1300,45.3
358,2013.417,0.0,339,9,32.7685,117.1441,44.9
359,2013.167,1.1,193.6,6,32.7657,117.1409,45.1
360,2013.500,5.6,2409,0,32.7551,117.1596,24.7
361,2012.667,32.9,87.3,10,32.7830,117.1402,47.1
362,2013.083,41.4,281.2,8,32.7735,117.1409,63.3
363,2013.417,17.1,967.4,4,32.7887,117.1341,40.0
364,2013.500,32.3,109.9,10,32.7818,117.1409,48.0
365,2013.417,35.3,614.1,7,32.7791,117.1367,33.1
366,2012.917,17.3,2261.4,4,32.7618,117.1122,29.5
367,2012.750,14.2,1801.5,1,32.7515,117.1525,24.8
368,2012.833,15.0,1828.3,2,32.7646,117.1153,20.9
369,2013.417,18.2,350.9,1,32.7754,117.1312,43.1
370,2012.667,20.2,2185.1,3,32.7632,117.1124,22.8
371,2012.750,15.9,289.3,5,32.7820,117.1435,42.1
372,2013.500,4.1,312.9,5,32.7559,117.1396,51.7
373,2013.000,33.9,157.6,7,32.7663,117.1420,41.5
374,2013.083,0.0,274,1,32.7748,117.1306,52.2
375,2013.250,5.4,390.6,5,32.7794,117.1425,49.5
376,2013.250,21.7,1158,0,32.7617,117.1501,23.8
377,2013.417,14.7,1717.2,2,32.7645,117.1165,30.5
378,2013.333,3.9,49.7,8,32.7584,117.1376,56.8
379,2013.333,37.3,587.9,8,32.7708,117.1463,37.4
380,2013.333,0.0,293,6,32.7774,117.1446,69.7
381,2013.333,14.1,289.3,5,32.7820,117.1435,53.3
382,2013.417,8.0,132.5,9,32.7830,117.1398,47.3
383,2013.000,16.3,3529.6,0,32.7321,117.1160,29.3
384,2012.667,29.1,506.1,4,32.7785,117.1389,40.3
385,2012.750,16.1,4066.6,0,32.7430,117.1034,12.9
386,2013.000,18.3,82.9,10,32.7830,117.1403,46.6
387,2012.833,0.0,185.4,0,32.7711,117.1317,55.3
388,2013.250,16.2,2103.6,3,32.7604,117.1146,25.6
389,2013.500,10.4,2251.9,4,32.7596,117.1135,27.3
390,2013.250,40.9,122.4,8,32.7676,117.1423,67.7
391,2013.500,32.8,377.8,9,32.7715,117.1435,38.6
392,2013.583,6.2,1939.7,1,32.7516,117.1539,31.3
393,2013.083,42.7,443.8,6,32.7793,117.1387,35.3
394,2013.000,16.9,967.4,4,32.7887,117.1341,40.3
395,2013.500,32.6,4136.3,1,32.7554,117.0963,24.7
396,2012.917,21.2,512.5,4,32.7740,117.1384,42.5
397,2012.667,37.1,918.6,1,32.7720,117.1506,31.9
398,2013.417,13.1,1164.8,4,32.7916,117.1341,32.2
399,2013.417,14.7,1717.2,2,32.7645,117.1165,23.0
400,2012.917,12.7,170.1,1,32.7737,117.1298,37.3
401,2013.250,26.8,482.8,5,32.7743,117.1386,35.5
402,2013.083,7.6,2175,3,32.7631,117.1125,27.7
403,2012.833,12.7,187.5,1,32.7739,117.1298,28.5
404,2012.667,30.9,161.9,9,32.7835,117.1397,39.7
405,2013.333,16.4,289.3,5,32.7820,117.1435,41.2
406,2012.667,23.0,131,6,32.7566,117.1377,37.2
407,2013.167,1.9,372.1,7,32.7729,117.1403,40.5
408,2013.000,5.2,2409,0,32.7551,117.1596,22.3
409,2013.417,18.5,2175.7,3,32.7633,117.1124,28.1
410,2013.000,13.7,4082,0,32.7416,117.1038,15.4
411,2012.667,5.6,90.5,9,32.7743,117.1431,50.0
412,2013.250,18.8,391,7,32.7792,117.1399,40.6
413,2013.000,8.1,104.8,5,32.7667,117.1407,52.5
414,2013.500,6.5,90.5,9,32.7743,117.1431,63.9
